district_no,district,district_key,year,category,popup_name,brand,description,location,date,admission,goods,tags,highlight,research_insight
03,Hongdae,hongdae,2026,Beauty,Fwee K-Beauty Colour Pop-up,Fwee,Fwee's colour-focused K-beauty pop-up in Seongsu/Hongdae featuring their signature blush and lip products in a pastel-maximalist concept space.,Seongsu / Hongdae area,2025 – 2026,Free,Limited colour sets,K-Beauty | Colour | Fwee | Pastel | Makeup,Standard,Fwee's colour-first brand identity translates naturally into an immersive pop-up environment — the products ARE the decoration.
03,Hongdae,hongdae,2026,IP · Character,ITZY [Motto] Official Pop-up Store,ITZY × JYP Entertainment,"Official pop-up tied to ITZY's Motto release with fan merch, photocard events, and Hongdae-only album bundles.","Mapo-gu, Hongdae area","May 19 – May 25, 2026",Free,Exclusive album bundle + photocards,K-Pop | ITZY | Fan Event | JYP | Hongdae Only,🔥 HOT,Hongdae remains the spiritual home of K-pop fan culture — the natural first choice for comeback pop-ups.
03,Hongdae,hongdae,2026,IP · Character,3학년Z반 긴파치 선생 Pop-up,AK Plaza Hongdae,"The hit Japanese anime '3-nen Z-gumi Ginpachi-sensei' gets its first major Korean pop-up at Hongdae's AK Plaza. Character goods, classroom photo zones, and exclusive Korean-market merch.",AK Plaza Hongdae,"May 1–5, 2026 (Golden Week)",Free,Character goods + photocards,Anime | Japanese IP | Character | Hongdae | Golden Week,🔥 HOT,Japanese anime IP pop-ups in Hongdae's AK Plaza have become a reliable fixture — the location's density of anime fans creates immediate queues on opening day.
03,Hongdae,hongdae,2026,IP · Character,White Tiger & Black Tiger Pop-up,Webtoon IP × Hongdae,"Korean webtoon IP 'White Tiger and Black Tiger' gets a dedicated Hongdae pop-up with character goods, illustration prints, and fan meet events.",Hongdae / Sinchon area,"May 1–5, 2026 (Golden Week)",Free,Webtoon IP goods,Webtoon | Korean IP | Character | Fan Meet,Standard,Korean webtoon IPs are increasingly commanding the same pop-up energy as Japanese anime — a shift reflecting the growing global reach of the webtoon format.
04,Gangnam · The Hyundai,gangnam,2026,F&B,봄날엔 Spring Dessert Pop-up,Bomnal-en Gangnam,Spring-season dessert pop-up in Gangnam with seasonal pastries and cherry blossom period limited menus.,"Seocho-gu, Gangnam","May 19 – May 31, 2026",Free,Seasonal dessert menu,Dessert | Spring | Seasonal | Instagram,Standard,Seasonal F&B pop-ups timed to cherry blossom season consistently outperform in foot traffic.
04,Gangnam · The Hyundai,gangnam,2026,F&B,Sand Museum Pop-up Yeouido,Sand Museum,Unique sand art experience pop-up at Yeouido. Visitors create personalised sand art bottles and watch live sand animation performances.,"Yeouido, Seoul","May 1–5, 2026 (Golden Week)",Paid admission,Personalised sand art bottle,Art Experience | Sand | Yeouido | Interactive | Craft,Standard,Experience-over-product pop-ups like Sand Museum have the highest word-of-mouth spread — the product (your sand bottle) becomes a walking advertisement.
04,Gangnam · The Hyundai,gangnam,2026,IP · Character,Hello Kitty × Jisoo Pop-up,Sanrio × Jisoo (BLACKPINK),"Sanrio's Hello Kitty collabs with BLACKPINK's Jisoo. Co-designed fashion pieces, limited character goods, and signature photo zones.","Jamsil, Songpa-gu","May 1–5, 2026 (Golden Week)",Free,Co-designed limited goods,Sanrio | BLACKPINK | Jisoo | Collab | Golden Week,🔥 HOT,Combining Hello Kitty with Jisoo targets two overlapping fandoms simultaneously — executed during peak visitor season.
04,Gangnam · The Hyundai,gangnam,2026,IP · Character,Pokémon Secret Forest (Seoul Forest),Pokémon Mega Festa 2026,"Outdoor Pokémon pop-up where hidden Pokémon lurk among Seoul Forest trees, tied to the 2026 Seoul International Garden Expo.","Seoul Forest, Seongdong-gu","May 1 – Jun 21, 2026",Free,Outdoor original goods,Pokémon | Outdoor | Seoul Forest | Garden Expo,🌿 Outdoor,Taking a pop-up outdoors into Seoul Forest transforms the experience from retail into a nature walk.
04,Gangnam · The Hyundai,gangnam,2026,IP · Character,Butter Bear Pop-up,Butter Bear IP,"Adorable honey-coloured bear character Butter Bear gets a dedicated Gangnam pop-up with plush goods, café-style drinks, and photo zones.","Gangnam, Seoul",May 2026,Free,Butter Bear plush + café menu,Character | Bear | Cute | Café | Golden Week,Standard,Bear character IPs have dominated Korean pop-up culture since BT21's Shooky and RJ — Butter Bear's warm colour palette appeals to the aesthetic-first Gen Z consumer.
05,Other Areas,others,2026,Beauty,BeautyPlus Moving × Mise-en-scène,BeautyPlus Universe,BeautyPlus's mobile pop-up at Sungshin Women's University in collaboration with hair care brand Mise-en-scène.,Seongbuk-gu (Sungshin Women's Univ.),"May 19, 2026",Free,Hair care giveaways,Hair Care | Mobile Pop-up | Campus | University,Standard,Campus-based beauty pop-ups target the MZ demographic at point of brand discovery.
05,Other Areas,others,2026,F&B,Guomanduzi Pop-up Anyang,Guomanduzi,"Viral Chinese-style dumpling brand Guomanduzi opens a pop-up in Anyang during Golden Week 2026, bringing its signature pan-fried dumplings to the greater Seoul area.","Anyang, Gyeonggi",May 2026 (Golden Week),Free,Signature pan-fried dumplings,F&B | Dumplings | Chinese | Viral | Anyang,Standard,Viral F&B pop-ups expanding from central Seoul to Gyeonggi satellite cities signal the format's democratisation — pop-up culture is no longer exclusively a Seoul phenomenon.
05,Other Areas,others,2026,Fashion,Jeep Kids Pop-up @ Yeongdeungpo,Jeep Kids,"Children's outdoor lifestyle brand Jeep Kids pops up at Yeongdeungpo IFC Mall with miniature adventure gear, customisation stations, and family photo zones.","IFC Mall, Yeongdeungpo",May 2026,Free,Kids outdoor gear,Kids | Outdoor | Jeep | Family | Lifestyle,Standard,Outdoor lifestyle brands targeting children in pop-up format are capitalising on post-pandemic parents' emphasis on active family experiences.
05,Other Areas,others,2026,IP · Character,Super Mario Pop-up @ Starfield Hanam,Nintendo × Starfield Hanam,Nintendo's Super Mario franchise at Starfield Hanam with interactive game-themed installations and limited merchandise.,"Starfield Hanam, Gyeonggi",May 2026 (Golden Week),Free,Nintendo limited goods,Nintendo | Mario | Gaming | Interactive | Family,Standard,Nintendo's strategic use of Golden Week maximises family traffic at a suburban location.
05,Other Areas,others,2026,IP · Character,TOURS Official Pop-up — Yongsan,TOURS (K-Pop Group),"K-Pop group TOURS at Yongsan iPark Mall with fan merch, exclusive Yongsan-edition goods, and photocard events.",Yongsan iPark Mall,"May 1–5, 2026 (Golden Week)",Free,Exclusive Yongsan-edition merch,K-Pop | Fan Event | Yongsan | Golden Week,Standard,Yongsan's proximity to major transit hubs makes it accessible to fans travelling from across the country.
05,Other Areas,others,2026,IP · Character,Nidi Girl × Overdose Collab Café,Nidi Girl × Café Overdose,Korean character brand Nidi Girl collaborates with Gwangjin-gu café Overdose for a limited character-themed café pop-up with exclusive Nidi Girl drinks and goods.,"Gwangjin-gu, Seoul",May 2026,Free,Character drinks + goods,Character | Café | Collab | Korean IP | Gwangjin,Standard,Character café collabs in residential neighbourhoods like Gwangjin represent the suburbanisation of Seoul's pop-up culture — moving beyond the Seongsu/Hannam axis.
05,Other Areas,others,2026,IP · Character,JB Kids Pop-up @ Yeongdeungpo,Jieef × Baller Kids,Children's character brand JB Kids opens a pop-up at Yeongdeungpo IFC Mall targeting young families with interactive play zones and character merchandise.,"IFC Mall, Yeongdeungpo",May 2026,Free,Character toys + goods,Kids | Character | Family | IFC Mall | Yeongdeungpo,Standard,Pop-ups targeting children at IFC Mall represent a strategic shift — brands are investing in the next generation of consumers while capturing today's family spending.
